date,states,consumption
2019-01-02,Punjab,119.9
2019-01-02,Haryana,130.3
2019-01-02,Rajasthan,234.1
2019-01-02,Delhi,85.8
2019-01-02,UP,313.9
2019-01-02,Uttarakhand,40.7
2019-01-02,HP,30
2019-01-02,J&K,52.5
2019-01-02,Chandigarh,5
2019-01-02,Chhattisgarh,78.7
2019-01-02,Gujarat,319.5
2019-01-02,MP,253
2019-01-02,Maharashtra,428.6
2019-01-02,Goa,12.8
2019-01-02,DNH,18.6
2019-01-02,Andhra Pradesh,164.6
2019-01-02,Telangana,204.2
2019-01-02,Karnataka,206.3
2019-01-02,Kerala,72.7
2019-01-02,Tamil Nadu,268.3
2019-01-02,Pondy,6.3
2019-01-02,Bihar,82.3
2019-01-02,Jharkhand,24.8
2019-01-02,Odisha,70.2
2019-01-02,West Bengal,108.2
2019-01-02,Sikkim,2
2019-01-02,Arunachal Pradesh,2.1
2019-01-02,Assam,21.7
2019-01-02,Manipur,2.7
2019-01-02,Meghalaya,6.1
2019-01-02,Mizoram,1.9
2019-01-02,Nagaland,2.2
2019-01-02,Tripura,3.4
2019-01-03,Punjab,121.9
2019-01-03,Haryana,133.5
2019-01-03,Rajasthan,240.2
2019-01-03,Delhi,85.5
2019-01-03,UP,311.8
2019-01-03,Uttarakhand,39.3
2019-01-03,HP,30.1
2019-01-03,J&K,54.1
2019-01-03,Chandigarh,4.9
2019-01-03,Chhattisgarh,78.8
2019-01-03,Gujarat,316.7
2019-01-03,MP,253.6
2019-01-03,Maharashtra,419.6
2019-01-03,Goa,13.7
2019-01-03,DNH,18.2
2019-01-03,Andhra Pradesh,170.1
2019-01-03,Telangana,204.5
2019-01-03,Karnataka,212.2
2019-01-03,Kerala,73.6
2019-01-03,Tamil Nadu,285.2
2019-01-03,Pondy,6.5
2019-01-03,Bihar,82
2019-01-03,Jharkhand,25.6
2019-01-03,Odisha,67.9
2019-01-03,West Bengal,110.2
2019-01-03,Sikkim,1.9
2019-01-03,Arunachal Pradesh,2.2
2019-01-03,Assam,23.4
2019-01-03,Manipur,2.4
2019-01-03,Meghalaya,6.5
2019-01-03,Mizoram,1.8
2019-01-03,Nagaland,2.2
2019-01-03,Tripura,3.6
2019-01-04,Punjab,118.8
2019-01-04,Haryana,128.2
2019-01-04,Rajasthan,239.8
2019-01-04,Delhi,83.5
2019-01-04,UP,320.7
2019-01-04,Uttarakhand,38.1
2019-01-04,HP,30.1
2019-01-04,J&K,53.2
2019-01-04,Chandigarh,4.8
2019-01-04,Chhattisgarh,74.8
2019-01-04,Gujarat,301.9
2019-01-04,MP,239.3
2019-01-04,Maharashtra,395.8
2019-01-04,Goa,12.6
2019-01-04,DNH,16.7
2019-01-04,Andhra Pradesh,165.2
2019-01-04,Telangana,201.2
2019-01-04,Karnataka,205.3
2019-01-04,Kerala,73.4
2019-01-04,Tamil Nadu,270.3
2019-01-04,Pondy,6.4
2019-01-04,Bihar,82.9
2019-01-04,Jharkhand,26.3
2019-01-04,Odisha,66.3
2019-01-04,West Bengal,106.8
2019-01-04,Sikkim,1.7
2019-01-04,Arunachal Pradesh,2.2
2019-01-04,Assam,21.7
2019-01-04,Manipur,2.4
2019-01-04,Meghalaya,6.3
2019-01-04,Mizoram,1.7
2019-01-04,Nagaland,2.2
2019-01-04,Tripura,3.5
2019-01-05,Punjab,121
2019-01-05,Haryana,127.5
2019-01-05,Rajasthan,239.1
2019-01-05,Delhi,79.2
2019-01-05,UP,299
2019-01-05,Uttarakhand,39.2
2019-01-05,HP,30.2
2019-01-05,J&K,51.5
2019-01-05,Chandigarh,4.3
2019-01-05,Chhattisgarh,69
2019-01-05,Gujarat,313.2
2019-01-05,MP,228.2
2019-01-05,Maharashtra,411.1
2019-01-05,Goa,13
2019-01-05,DNH,17.6
2019-01-05,Andhra Pradesh,167.4
2019-01-05,Telangana,201.7
2019-01-05,Karnataka,212.4
2019-01-05,Kerala,75.4
2019-01-05,Tamil Nadu,286.8
2019-01-05,Pondy,6.6
2019-01-05,Bihar,77
2019-01-05,Jharkhand,23
2019-01-05,Odisha,65.8
2019-01-05,West Bengal,107
2019-01-05,Sikkim,2
2019-01-05,Arunachal Pradesh,2.2
2019-01-05,Assam,22.5
2019-01-05,Manipur,2.7
2019-01-05,Meghalaya,5.7
2019-01-05,Mizoram,1.8
2019-01-05,Nagaland,2.3
2019-01-05,Tripura,3.5
2019-01-06,Punjab,121.4
2019-01-06,Haryana,132.6
2019-01-06,Rajasthan,240.4
2019-01-06,Delhi,76.6
2019-01-06,UP,286.8
2019-01-06,Uttarakhand,39.2
2019-01-06,HP,31
2019-01-06,J&K,53.2
2019-01-06,Chandigarh,4.3
2019-01-06,Chhattisgarh,68.1
2019-01-06,Gujarat,320.7
2019-01-06,MP,227.4
2019-01-06,Maharashtra,408.6
2019-01-06,Goa,12.9
2019-01-06,DNH,18.6
2019-01-06,Andhra Pradesh,171.2
2019-01-06,Telangana,194.9
2019-01-06,Karnataka,217.5
2019-01-06,Kerala,75.4
2019-01-06,Tamil Nadu,298.3
2019-01-06,Pondy,7.2
2019-01-06,Bihar,76.4
2019-01-06,Jharkhand,22.6
2019-01-06,Odisha,62.9
2019-01-06,West Bengal,106.4
2019-01-06,Sikkim,2
2019-01-06,Arunachal Pradesh,2.2
2019-01-06,Assam,21.7
2019-01-06,Manipur,2.7
2019-01-06,Meghalaya,6.2
2019-01-06,Mizoram,1.9
2019-01-06,Nagaland,2.3
2019-01-06,Tripura,3.3
2019-01-07,Punjab,118
2019-01-07,Haryana,132.1
2019-01-07,Rajasthan,241.9
2019-01-07,Delhi,71.1
2019-01-07,UP,294.2
2019-01-07,Uttarakhand,40.1
2019-01-07,HP,30.1
2019-01-07,J&K,53.3
2019-01-07,Chandigarh,4
2019-01-07,Chhattisgarh,73.1
2019-01-07,Gujarat,319.4
2019-01-07,MP,230.3
2019-01-07,Maharashtra,408.1
2019-01-07,Goa,12.7
2019-01-07,DNH,18.3
2019-01-07,Andhra Pradesh,166.4
2019-01-07,Telangana,191.9
2019-01-07,Karnataka,217.4
2019-01-07,Kerala,74.9
2019-01-07,Tamil Nadu,294.2
2019-01-07,Pondy,7
2019-01-07,Bihar,75.3
2019-01-07,Jharkhand,23.9
2019-01-07,Odisha,64
2019-01-07,West Bengal,109.3
2019-01-07,Sikkim,1.5
2019-01-07,Arunachal Pradesh,2.2
2019-01-07,Assam,21.4
2019-01-07,Manipur,2.5
2019-01-07,Meghalaya,6.1
2019-01-07,Mizoram,1.8
2019-01-07,Nagaland,2.3
2019-01-07,Tripura,3.3
2019-01-08,Punjab,107.5
2019-01-08,Haryana,121.4
2019-01-08,Rajasthan,237.2
2019-01-08,Delhi,69
2019-01-08,UP,289.4
2019-01-08,Uttarakhand,37
2019-01-08,HP,29.2
2019-01-08,J&K,51.2
2019-01-08,Chandigarh,3.8
2019-01-08,Chhattisgarh,74.2
2019-01-08,Gujarat,307.9
2019-01-08,MP,228.8
2019-01-08,Maharashtra,398.2
2019-01-08,Goa,10.9
2019-01-08,DNH,18.1
2019-01-08,Andhra Pradesh,160.8
2019-01-08,Telangana,190.8
2019-01-08,Karnataka,201
2019-01-08,Kerala,68.2
2019-01-08,Tamil Nadu,279.2
2019-01-08,Pondy,6.5
2019-01-08,Bihar,76.2
2019-01-08,Jharkhand,23.3
2019-01-08,Odisha,63.6
2019-01-08,West Bengal,102.9
2019-01-08,Sikkim,1.6
2019-01-08,Arunachal Pradesh,2.3
2019-01-08,Assam,20.7
2019-01-08,Manipur,2.6
2019-01-08,Meghalaya,6.2
2019-01-08,Mizoram,1.8
2019-01-08,Nagaland,2.1
2019-01-08,Tripura,3.3
2019-01-09,Punjab,132.5
2019-01-09,Haryana,148.2
2019-01-09,Rajasthan,197
2019-01-09,Delhi,89.2
2019-01-09,UP,258.6
2019-01-09,Uttarakhand,35.9
2019-01-09,HP,25.3
2019-01-09,J&K,37.9
2019-01-09,Chandigarh,3.9
2019-01-09,Chhattisgarh,77.2
2019-01-09,Gujarat,260
2019-01-09,MP,162.5
2019-01-09,Maharashtra,400.9
2019-01-09,Goa,12.1
2019-01-09,DNH,18
2019-01-09,Andhra Pradesh,163
2019-01-09,Telangana,167.5
2019-01-09,Karnataka,173.6
2019-01-09,Kerala,67.9
